,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
2950,2950,55041,Opp Ue Bizhub Ctrl,1.39122406741106,103.84602799523668,Yio Chu Kang Rd,ANG MO KIO
2951,2951,55049,Ue Bizhub Ctrl,1.39110547694961,103.84659281119059,Yio Chu Kang Rd,ANG MO KIO
2952,2952,55051,Opp ST Electronics,1.3923998014128,103.8489623936009,Yio Chu Kang Rd,ANG MO KIO
2953,2953,55059,ST Electronics,1.3920822654425,103.84909518015895,Yio Chu Kang Rd,ANG MO KIO
2954,2954,55071,Bef KLC Intl Inst,1.3924627408516699,103.85261828242731,Yio Chu Kang Rd,ANG MO KIO
2955,2955,55079,Aft KLC Intl Inst,1.39195216697174,103.85336802569405,Yio Chu Kang Rd,ANG MO KIO
2956,2956,55081,Opp Sunrise Gdns,1.39177133420779,103.8559732827973,Yio Chu Kang Rd,ANG MO KIO
2957,2957,55089,Aft Sunrise Gdns,1.39129403706334,103.85630398734284,Yio Chu Kang Rd,ANG MO KIO
2958,2958,55101,Opp Serenity Pk,1.3909401415525002,103.85967918415773,Yio Chu Kang Rd,SENGKANG
2959,2959,55109,Serenity Pk,1.3904944727375201,103.85993348003521,Yio Chu Kang Rd,SERANGOON
2960,2960,55111,Blk 180,1.3769555626712702,103.83777368753996,Ang Mo Kio Ave 5,ANG MO KIO
2961,2961,55119,Blk 617,1.37728530731209,103.83784706311131,Ang Mo Kio Ave 5,ANG MO KIO
2962,2962,55121,Opp Blk 604,1.3794313890177399,103.83519777802984,Ang Mo Kio Ave 5,ANG MO KIO
