,BusStopCode,Description,Latitude,Longitude,RoadName
1684,32039,Aft Ama Keng Rd,1.40251788786303,103.70081478116067,Lim Chu Kang Rd
1685,32041,Opp LP 160,1.40436104392726,103.70166157203701,Lim Chu Kang Rd
1686,32049,Aft LP 161,1.40452254375654,103.70187031633597,Lim Chu Kang Rd
1687,32051,Aft Track 11,1.40929365504034,103.70097942080086,Lim Chu Kang Rd
1688,32059,Opp Track 11,1.40903140804682,103.70120779053055,Lim Chu Kang Rd
1689,32061,Opp LP 173,1.41146307596912,103.70006004261607,Lim Chu Kang Rd
1690,32069,B26 Lim Chu Kang Rd,1.41103257931936,103.7003812106999,Lim Chu Kang Rd
1691,32071,Aft Track 13,1.4160246040166,103.70056776202736,Lim Chu Kang Rd
1692,32079,Opp Track 13,1.41512827700833,103.70026822968337,Lim Chu Kang Rd
1693,32081,Sg Gedong Camp,1.41744631606558,103.70120361125713,Lim Chu Kang Rd
1694,32089,Aft Sg Gedong Camp,1.41681891211204,103.7010851003633,Lim Chu Kang Rd
1695,32101,Aft Murai Farmway,1.38541382998394,103.69744470002844,Lim Chu Kang Rd
1696,32109,Bef Lor Serambi,1.3857176700282,103.69770270003046,Lim Chu Kang Rd
1697,32111,Aft LP 93,1.39837200000575,103.69964580001103,Lim Chu Kang Rd
1698,32119,Aft LP 96,1.39858000001944,103.699882699978,Lim Chu Kang Rd
1699,33011,B19 Lim Chu Kang Rd,1.41959108645842,103.70222963088568,Lim Chu Kang Rd
1700,33019,B20 Lim Chu Kang Rd,1.41920159190274,103.70215656491881,Lim Chu Kang Rd
1701,33021,Opp Neo Tiew Rd,1.42179012512071,103.70324459408172,Lim Chu Kang Rd
1702,33029,Aft Neo Tiew Rd,1.42080314827393,103.70292186217569,Lim Chu Kang Rd
1703,33031,Aft Jln Bahtera,1.42397958326967,103.70422572285418,Lim Chu Kang Rd
1704,33039,Opp Jln Bahtera,1.42329599233546,103.70408030420536,Lim Chu Kang Rd
1705,33041,Opp Lim Chu Kang Lane 3,1.42761911626678,103.70594344849181,Lim Chu Kang Rd
1706,33049,Aft Lim Chu Kang Lane 3,1.42621743469097,103.70543799603165,Lim Chu Kang Rd
1707,33051,Bef Lim Chu Kang Lane 3A,1.43024937289974,103.70683437257524,Lim Chu Kang Rd
1708,33059,Aft Lim Chu Kang Lane 3A,1.42935991121752,103.70662973279376,Lim Chu Kang Rd
1709,34009,Police Coast Guard,1.44482656088302,103.70756734461297,Lim Chu Kang Rd
1710,34011,Opp Lim Chu Kang Lane 4,1.43318199595331,103.7078231906078,Lim Chu Kang Rd
1711,34019,Aft Lim Chu Kang Lane 4,1.43253416698475,103.70773805599093,Lim Chu Kang Rd
1712,34021,Opp Lim Chu Kang Lane 5,1.43518649812518,103.70804760933633,Lim Chu Kang Rd
1713,34029,Bef Lim Chu Kang Lane 5,1.43497194397025,103.70818333298028,Lim Chu Kang Rd
1714,34031,Aft Lim Chu Kang Lane 6,1.4376660533385,103.70795650853267,Lim Chu Kang Rd
1715,34039,Bef Lim Chu Kang Lane 6,1.43659170251147,103.70811753153625,Lim Chu Kang Rd
